cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
350,512,3,0.44437189031888236,2.55,-19.314824006462562,1,0.1888524275334675,ok,350.44102001190186
200,640,3,0.4501897725643142,2.4749999999999996,-10.4555277495123,1,0.2018185256317407,ok,250.87834763526917
700,896,2,0.37829323151517413,3.15,-26.296180321775964,0,0.1555496370344159,ok,202.40386128425598
600,384,4,0.40804257895359414,3.9,-43.35063124711149,0,0.33119403027486005,ok,315.499041557312
200,640,4,0.4203550933413435,3.3,-13.55044613123755,2,0.5075978524793494,ok,379.41347336769104
450,1024,3,0.38813016693221236,4.35,-24.528433461762273,1,0.25350830779913447,ok,274.4333915710449
700,640,4,0.26209631907580927,5.3,-40.446352389037436,0,inf,ok,347.5480616092682
450,896,4,0.3393699961510855,5.3,-28.285546998588757,1,inf,ok,342.592187166214
450,256,3,0.49382438128306116,2.0999999999999996,-24.45700279541512,0,0.0832659716601095,ok,338.4496183395386
550,512,3,0.37844506489406277,3.1500000000000004,-29.875449160925267,0,0.22435552534731576,ok,259.4108500480652
250,1024,2,0.424886152111768,2.5,-9.242213485009522,1,0.08504535792569456,ok,216.44867849349976
350,128,3,0.657710188729383,1.4249999999999998,-19.419998417708502,0,0.14923327524820246,ok,274.36517453193665
250,896,4,0.4124108221224019,4.5,-17.653385087555233,3,1.1782158845608182,ok,382.8139352798462
300,128,3,0.6602310652868641,1.275,-16.15228697737245,0,0.05154381623178987,ok,281.56641840934753
500,896,1,0.4773141684176677,1.375,-9.80848058660313,1,0.0599580784523176,ok,207.84006428718567
100,512,3,0.4816063696432563,1.7999999999999998,-4.54778866098436,2,inf,ok,359.6561152935028
100,384,2,0.5224780202368122,0.95,-3.28046403638123,1,inf,ok,275.01546239852905
600,768,3,0.3713456538958635,4.050000000000001,-32.87702212116149,0,0.16145483274507824,ok,335.44765639305115
450,1024,1,0.4686126870254069,1.45,-8.771425121076156,1,0.15038424187608357,ok,177.10907340049744
550,128,3,0.593674303045003,2.0250000000000004,-29.780342477018444,0,0.061125445277478395,ok,350.785356760025
200,512,3,0.4407423624551194,2.0999999999999996,-10.281131014079707,1,0.14964483648734284,ok,302.2500126361847
600,128,3,0.6045428287714366,2.175,-32.40001522010354,0,0.12187453690035294,ok,316.92968702316284
200,128,4,0.6572468210895681,1.3,-12.923190301648052,1,0.4501987152410021,ok,311.0446569919586
100,256,3,0.5595924028910977,1.0499999999999998,-5.05720365531501,1,0.5073590291218767,ok,276.69008588790894
400,256,2,0.5118161510210681,1.3,-15.457471065076005,0,0.08050118715988089,ok,249.35376381874084
450,640,1,0.458413073511535,1.075,-8.754974461198222,0,0.1515450054472658,ok,219.1676003932953
250,128,3,0.6603037916835826,1.125,-13.633258892871122,0,0.046072773874537606,ok,350.2057921886444
150,128,1,0.7232455738886321,0.275,-2.742933314591236,0,inf,ok,191.101567029953
100,768,4,0.4379480126972469,3.4,-6.670876533151573,3,2.824607513744306,ok,322.9384717941284
