generation,idx,cpu_m,mem_mib,replicas,f1,f2,f3,throughput_rps,cpu_throttle_rate,mem_peak_ratio,rank,crowding_distance,status,eval_time_s
5,1,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
5,2,650,896,4,0.32735544517021137,6.1,-46.33825532717911,46.33825532717911,0.5715025337556013,0.08320835658482142,0,inf,ok,263.8942322731018
5,3,700,896,3,0.3112247101272354,4.725,-38.57916903578346,38.57916903578346,0.5375756758348279,0.08487374441964286,0,inf,ok,321.0097978115082
5,4,700,512,4,0.36849292112338666,4.8,-49.67483536416822,49.67483536416822,0.5880905785748983,0.148895263671875,0,inf,ok,321.1711497306824
5,5,500,256,2,0.5232312857304742,1.5,-19.059483348032007,19.059483348032007,0.7726130841562607,0.2738494873046875,0,0.1618848644490125,ok,257.6246099472046
5,6,700,768,3,0.35186700370826346,4.35,-37.63660840591372,37.63660840591372,0.6045671372993394,0.0991668701171875,0,0.31998467478668985,ok,340.56322622299194
5,7,700,128,2,0.6477379663034982,1.65,-27.192597814148638,27.192597814148638,0.7022142138569964,0.59326171875,0,0.3720278438968957,ok,200.53556180000305
5,8,500,256,1,0.5826007879522566,0.75,-10.097035538681974,10.097035538681974,0.8640998913342007,0.3011016845703125,0,0.27033699405393985,ok,177.0424771308899
5,9,600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,32.89609565551532,0.6234306038943244,0.1181396484375,0,0.3435130598452931,ok,256.6899859905243
5,10,650,512,1,0.46692402799275917,1.15,-12.993406049595915,12.993406049595915,0.7866083709269246,0.14723968505859375,0,0.2681724272341933,ok,172.09243869781494
5,11,600,256,4,0.4282651376602365,3.4,-41.139114478709295,41.139114478709295,0.556817140554848,0.299713134765625,0,0.4688006362729845,ok,373.1713309288025
6,0,100,128,1,0.7358345511951612,0.225,-2.280047650126778,2.280047650126778,0.8900650984840723,0.58160400390625,0,inf,ok,234.98419833183289
6,1,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
6,2,650,896,4,0.32735544517021137,6.1,-46.33825532717911,46.33825532717911,0.5715025337556013,0.08320835658482142,0,inf,ok,263.8942322731018
6,3,700,896,3,0.3112247101272354,4.725,-38.57916903578346,38.57916903578346,0.5375756758348279,0.08487374441964286,0,inf,ok,321.0097978115082
6,4,700,512,4,0.36849292112338666,4.8,-49.67483536416822,49.67483536416822,0.5880905785748983,0.148895263671875,0,inf,ok,321.1711497306824
6,5,600,256,4,0.4282651376602365,3.4,-41.139114478709295,41.139114478709295,0.556817140554848,0.299713134765625,0,0.4688006362729845,ok,373.1713309288025
6,6,500,256,2,0.5232312857304742,1.5,-19.059483348032007,19.059483348032007,0.7726130841562607,0.2738494873046875,0,0.1618848644490125,ok,257.6246099472046
6,7,700,128,2,0.6477379663034982,1.65,-27.192597814148638,27.192597814148638,0.7022142138569964,0.59326171875,0,0.3720278438968957,ok,200.53556180000305
6,8,500,256,1,0.5826007879522566,0.75,-10.097035538681974,10.097035538681974,0.8640998913342007,0.3011016845703125,0,0.27033699405393985,ok,177.0424771308899
6,9,700,768,2,0.3581705586498231,2.9,-25.83978501476495,25.83978501476495,0.6174234740704796,0.09891764322916667,0,0.300568660429694,ok,208.89551663398743
6,10,600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,32.89609565551532,0.6234306038943244,0.1181396484375,0,0.3435130598452931,ok,256.6899859905243
6,11,500,640,2,0.38354657579873047,2.25,-18.988687052486,18.988687052486,0.656686657456836,0.110406494140625,0,0.21476793539543965,ok,224.51758313179016
7,0,100,128,1,0.7358345511951612,0.225,-2.280047650126778,2.280047650126778,0.8900650984840723,0.58160400390625,0,inf,ok,234.98419833183289
7,1,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
7,2,650,896,4,0.32735544517021137,6.1,-46.33825532717911,46.33825532717911,0.5715025337556013,0.08320835658482142,0,inf,ok,263.8942322731018
7,3,700,896,3,0.3112247101272354,4.725,-38.57916903578346,38.57916903578346,0.5375756758348279,0.08487374441964286,0,inf,ok,321.0097978115082
7,4,700,512,4,0.36849292112338666,4.8,-49.67483536416822,49.67483536416822,0.5880905785748983,0.148895263671875,0,inf,ok,321.1711497306824
7,5,600,256,4,0.4282651376602365,3.4,-41.139114478709295,41.139114478709295,0.556817140554848,0.299713134765625,0,0.4688006362729845,ok,373.1713309288025
7,6,100,384,3,0.5083410124806562,1.4249999999999998,-5.066140186903057,5.066140186903057,0.8216543556904791,0.19502766927083334,0,0.3839512273547181,ok,348.02887630462646
7,7,700,128,3,0.6131179010370434,2.4749999999999996,-38.57727778444405,38.57727778444405,0.6310514759022119,0.595184326171875,0,0.3773460208168414,ok,334.66021180152893
7,8,700,128,2,0.6477379663034982,1.65,-27.192597814148638,27.192597814148638,0.7022142138569964,0.59326171875,0,0.3720278438968957,ok,200.53556180000305
7,9,400,128,2,0.6964290774500002,1.05,-15.344563195908488,15.344563195908488,0.8099418951343754,0.582916259765625,0,0.34383964090807306,ok,193.02776718139648
7,10,600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,32.89609565551532,0.6234306038943244,0.1181396484375,0,0.3435130598452931,ok,256.6899859905243
7,11,700,768,2,0.3581705586498231,2.9,-25.83978501476495,25.83978501476495,0.6174234740704796,0.09891764322916667,0,0.300568660429694,ok,208.89551663398743
