generation,idx,cpu_m,mem_mib,replicas,fitness,f1,f2,f3,throughput,p95_latency_s,p99_latency_s,avg_latency_s,success_rate,total_requests,failed_requests,cpu_usage_cores,memory_usage_bytes,cpu_utilization,memory_utilization,cpu_throttling,memory_peak_usage_bytes,status,error,eval_time_s
4,5,500,256,4,0.6740301713725088,0.46341903777553245,3.0,-35.26546039516515,35.26546039516515,1.6071381568908691,2.014075756072998,0.6102828612122324,1.0,3206,0,0.2485167482633926,67853750.85714285,0.4970334965267852,0.25277491978236605,0.6284829730120024,80089088.0,ok,,268.6478946208954
4,6,500,128,4,0.6704266287848984,0.6047145163440859,2.5,-35.78943019155457,35.78943019155457,1.466336965560913,1.7546892166137695,0.6001856815013903,1.0,3259,0,0.24805622508581743,65238454.85714286,0.49611245017163486,0.48606436593191965,0.6271841596412967,78147584.0,ok,,295.4173254966736
4,7,500,128,3,0.6698931685316298,0.6308161192362267,1.875,-27.799420968808775,27.799420968808775,1.7384226322174072,2.183195114135742,0.7786059718149042,1.0,2521,0,0.2689862051153113,66190969.90476191,0.5379724102306226,0.49316115606398814,0.6682484494099535,79642624.0,ok,,257.1068046092987
4,8,300,256,4,0.6683853124980104,0.4924716668670652,2.2,-20.958587972977487,20.958587972977487,2.6925389766693115,3.141359806060791,1.0291916921944249,1.0,1921,0,0.15465656022874147,67722971.42857143,0.5155218674291383,0.25228772844587055,0.6925849352966305,78479360.0,ok,,254.71789813041687
4,9,250,256,4,0.666369307230201,0.5102792501004649,2.0,-17.675391535256246,17.675391535256246,2.7041077613830566,3.1905899047851562,1.226966058506685,1.0,1615,0,0.13203371048983845,67549915.42857143,0.5281348419593538,0.2516430446079799,0.7265826701228048,78913536.0,ok,,312.2686085700989
4,10,100,256,4,0.5666685611327207,0.5503762187912815,1.4,-6.140097676058307,6.140097676058307,7.912142515182495,8.670283555984497,3.2686212613350816,0.972972972972973,592,16,0.05433215720755053,63237120.0,0.5433215720755052,0.23557662963867188,0.8088670616060005,78352384.0,ok,,280.67571353912354
4,11,450,256,4,0.6749611866212941,0.4657099267356413,2.8,-31.933983445082596,31.933983445082596,1.595149040222168,2.145902156829834,0.6752648920888086,1.0,2904,0,0.23313289061188525,68458057.14285715,0.5180730902486339,0.2550261361258371,0.6353230517134701,79482880.0,ok,,299.770391702652
5,0,700,256,4,0.6828481845373886,0.42678762194239145,3.8,-50.89522040073048,50.89522040073048,0.9944748878479004,1.2652642726898193,0.42099654542219395,1.0,4595,0,0.35819123855498886,66827264.0,0.5117017693642698,0.24895095825195312,0.5665269040410329,77053952.0,ok,,305.4132809638977
5,1,550,256,4,0.677179914881957,0.44791710926228173,3.2,-39.15345212654555,39.15345212654555,1.5457191467285156,1.872485876083374,0.5495794439867597,1.0,3543,0,0.2739916777199845,67241398.85714285,0.49816668676360815,0.2504937308175223,0.5991118064151885,79650816.0,ok,,259.58651852607727
5,2,200,384,1,0.5823895725256762,0.48004537545733683,0.575,-3.724486743867654,3.724486743867654,7.7017951011657715,7.717836141586304,5.982567711018804,0.97953216374269,342,7,0.12452038854379768,65152146.28571428,0.6226019427189884,0.1618071056547619,0.7728145464875903,75407360.0,ok,,208.96957659721375
5,3,500,256,4,0.6740301713725088,0.46341903777553245,3.0,-35.26546039516515,35.26546039516515,1.6071381568908691,2.014075756072998,0.6102828612122324,1.0,3206,0,0.2485167482633926,67853750.85714285,0.4970334965267852,0.25277491978236605,0.6284829730120024,80089088.0,ok,,268.6478946208954
5,4,450,256,4,0.6749611866212941,0.4657099267356413,2.8,-31.933983445082596,31.933983445082596,1.595149040222168,2.145902156829834,0.6752648920888086,1.0,2904,0,0.23313289061188525,68458057.14285715,0.5180730902486339,0.2550261361258371,0.6353230517134701,79482880.0,ok,,299.770391702652
5,5,500,128,4,0.6704266287848984,0.6047145163440859,2.5,-35.78943019155457,35.78943019155457,1.466336965560913,1.7546892166137695,0.6001856815013903,1.0,3259,0,0.24805622508581743,65238454.85714286,0.49611245017163486,0.48606436593191965,0.6271841596412967,78147584.0,ok,,295.4173254966736
5,6,600,256,4,0.6789652553414314,0.44928106419026326,3.4,-43.114100783523,43.114100783523,1.1923623085021973,1.5248911380767822,0.49803104596260267,1.0,3900,0,0.3105545745237686,67590436.57142857,0.5175909575396144,0.2517939976283482,0.603594477013339,79179776.0,ok,,279.082537651062
5,7,600,256,3,0.6563025713510134,0.5601869676604168,2.55,-33.48096317764696,33.48096317764696,1.4661061763763428,1.8107609748840332,0.6434384266926934,1.0,3045,0,0.4514250562026638,69432856.38095237,0.7523750936711064,0.2586575462704613,0.8232242771177086,79765504.0,ok,,119.35014939308167
5,8,500,256,3,0.6687841079947798,0.5088914522557859,2.25,-27.743230138674893,27.743230138674893,1.6948776245117188,2.2440569400787354,0.7799153185574113,1.0,2512,0,0.2753447842195257,67546160.76190476,0.5506895684390514,0.2516290573846726,0.7350375431834467,75898880.0,ok,,246.00126099586487
5,9,450,256,3,0.6694906029756524,0.5033291071058685,2.0999999999999996,-24.18897905134002,24.18897905134002,2.177760124206543,2.4654176235198975,0.8925460400544664,1.0,2209,0,0.24668215668842028,66467547.428571425,0.5481825704187118,0.24761090959821427,0.7147118030789245,78368768.0,ok,,255.7210988998413
5,10,650,256,4,0.6788749365684394,0.4365093197601542,3.6,-46.51240719091244,46.51240719091244,1.0850398540496826,1.3821539878845215,0.46042410643823856,1.0,4217,0,0.3163658860555242,66872173.71428572,0.4867167477777295,0.2491182599748884,0.5786155633484334,79028224.0,ok,,255.14089727401733
5,11,700,640,4,0.6770908830602824,0.31577930753304373,5.3,-49.308867731688466,49.308867731688466,1.131014347076416,1.4476618766784668,0.43381001965848626,1.0,4469,0,0.34836802955520224,67770075.42857143,0.49766861365028897,0.10098528180803572,0.5165012420192124,77213696.0,ok,,261.9394817352295
6,0,700,256,4,0.6828481845373886,0.42678762194239145,3.8,-50.89522040073048,50.89522040073048,0.9944748878479004,1.2652642726898193,0.42099654542219395,1.0,4595,0,0.35819123855498886,66827264.0,0.5117017693642698,0.24895095825195312,0.5665269040410329,77053952.0,ok,,305.4132809638977
6,1,350,384,1,0.6519064884824322,0.5416378985146115,0.725,-6.830460791453991,6.830460791453991,3.289076566696167,3.467231035232544,3.198856207159345,1.0,618,0,0.22230511566915395,65886500.571428575,0.6351574733404399,0.16363089425223215,0.9058465978104729,71442432.0,ok,,164.4101152420044
6,2,450,512,1,0.6595290073367202,0.4556678540973872,0.95,-8.88990099777614,8.88990099777614,2.5022730827331543,2.558178424835205,2.4557450098149918,1.0,816,0,0.27738149307987486,69095424.0,0.6164033179552775,0.12870025634765625,0.7677352443275869,77094912.0,ok,,197.08330941200256
